# Settings (INTERP) : f = 1, angles = None, pmax = 10, backend = ibmq_manila, optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19
1.0,-16.609375,0.1328125,0.5000002084954673,0.4999990219766669,,,,,,,,,,,,,,,,,,
2.0,-16.77734375,0.08203125,0.5000008058540677,0.5176798195474986,0.5011849765976455,0.3762612960457099,,,,,,,,,,,,,,,,
3.0,-16.703125,0.1171875,0.2888737752668441,0.4000313692077942,0.1323763438024119,0.4206613673157447,1.412591887302097,0.3433185175852306,,,,,,,,,,,,,,
5.0,-16.609375,0.078125,1.252547881648417,1.4268792323419217,0.2370942345365593,0.2755399474885232,0.2113287623806594,0.2863948913132727,1.090851945946807,1.0360707841656354,0.7676899669431321,0.3134560650385818,,,,,,,,,,
6.0,-16.68359375,0.06640625,0.889047948802947,1.7495118389747926,2.4284868650579226,2.8891264733645587,2.8789535218457654,2.9303024363774357,0.28639050089485796,0.9301114889982793,1.0579867231752065,0.9287092252520841,1.6767291773430095,0.31338813506773633,,,,,,,,
7.0,-16.52734375,0.05859375,0.9019757174417892,2.6050142210229184,2.203015670647848,2.710317888332201,2.8914231428081467,2.88464336214806,2.92843310042904,0.292380817462389,0.8175173337596275,0.008711318803881873,1.0153888779007767,1.163751236585676,1.4471299739461472,5.6119220499552425,,,,,,
8.0,-16.87109375,0.0859375,0.9019757174417892,0.2201303526358207,2.3178723993264394,2.492902652181764,2.7879344259647487,2.88948606261955,2.890899039045342,2.92843310042904,0.292380817462389,0.7424978314314501,0.23979875164838127,0.5839556382878222,0.07897274590859027,1.244716590117239,2.0421002705188753,5.6119220499552425,,,,
9.0,-16.66796875,0.0859375,0.940168277080578,1.329513592945332,1.788166849860196,2.4291249363455267,2.643864008272989,2.852990336615779,2.8572266017299284,2.894818677101222,2.924414939211537,0.294168138080539,0.6875078581196581,5.6505433748334335,0.45368264323218366,0.33215966367997396,0.517657475626784,1.4436400397356532,2.488797257172878,5.6122861111119535,,
10.0,-16.71484375,0.0703125,1.0268308122984853,1.0517543775864142,2.495649754792603,2.05368883523047,2.5484244207496727,2.736809043092007,2.854402424987162,2.8655803962568824,2.8981071506690346,2.924414939211537,0.294168138080539,0.6438034447819785,4.547646593341483,2.1859695537659336,0.3861698768142894,0.4146031356563338,0.826318330329741,0.6758971991661475,2.83585157427722,5.6122861111119535
