# Settings (INTERP) : f = 1, angles = None, pmax = 15, backend = ibmq_bogota, optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1,-16.734375,0.078125,0.7253372555895609,0.8919729789241782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-16.69921875,0.05078125,1.491668901646189,0.6685080114888866,0.3003726358888912,5.204360142492976,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-16.5546875,0.0390625,0.2514706243593969,0.2443914384159498,2.0348482418808187,0.4222595756235379,1.7413072329192087,4.983815264612693,,,,,,,,,,,,,,,,,,,,,,,,
4,-16.59375,0.0546875,0.8467801984795429,1.3151582623433202,0.7680768019251581,1.9295979503315408,1.439004409882802,1.2405912094622285,2.820378225262252,5.966738520616874,,,,,,,,,,,,,,,,,,,,,,
5,-16.6328125,0.05859375,1.2946962791820398,1.944312356831008,1.1016530379479,2.0818793983826245,1.2149393741949428,1.4418878008677432,2.288309420743971,2.02909701106271,4.603510169230435,5.971385189049889,,,,,,,,,,,,,,,,,,,,
6,-16.6875,0.0625,0.8349730375514599,1.3097506397008387,1.687546989943555,1.686345341315765,1.1797310795393374,1.8863873559117843,1.483670127490015,2.112874441268444,2.1399136541394386,3.057159327096262,4.887871340271216,5.971650628064269,,,,,,,,,,,,,,,,,,
7,-16.76953125,0.0546875,1.2240080195711585,2.0596951829273458,0.8698057093543015,1.751200031141341,1.8678501334875135,1.923982305446536,0.7861018533566506,1.4503134598636294,2.2354999047408857,2.3246678048260314,2.3105690602047013,3.6437015004790307,4.8302570655879045,0.4555972556118375,,,,,,,,,,,,,,,,
8,-16.66015625,0.046875,1.1027843511119089,2.913006372096189,2.225107062725521,1.4101817625271444,2.281651395854256,2.851186970796857,1.6941103253485186,0.6924560857213364,1.5397486993044778,2.034670119558055,2.2607645175792292,2.324624120040491,1.9380723855168167,4.030150828806446,4.252052965200512,0.5462273974171836,,,,,,,,,,,,,,
9,-16.80859375,0.08203125,0.8952140945366656,0.4380486711061229,1.977351725886823,1.7617055127709629,1.3565722531440896,2.208598121783472,2.232286314826712,1.18182351622933,0.1568432792218513,1.6057397578463677,2.175666344210688,2.2237938243085695,2.5157587376984933,2.2437774636278007,2.927907317214087,4.097846929301609,2.7643836364343035,0.6195507957970623,,,,,,,,,,,,
10,-16.7109375,0.0390625,1.3503130377591006,2.7203072940614024,1.0782492338406549,0.8549831533662386,1.4642040529175824,0.217404558392956,0.9823926350627196,1.2724508997988542,2.0351664709934765,0.0336326450696775,1.636430529797842,2.192901657382289,2.2130698610555584,2.485814628275818,2.343751255952786,2.627288308238087,3.3554408684603105,3.4272645528060783,2.5231526914344844,5.898398736148124,,,,,,,,,,
101-16.7421875,0.0390625,0.8167421292301933,2.6230424166771638,0.7293122198058204,2.175676395077595,1.988124524571217,2.282954565338406,2.468844377268748,1.732772925100739,1.9390209687339843,1.433957438441006,0.0869896187207848,1.4294064895850624,2.03961396244745,3.1262550260244764,2.6790834700927393,2.3498907379936176,2.4818272006164133,2.9002911838587675,3.370708171175876,3.6128968881590255,3.8620909616124184,5.832401073568868,,,,,,,,
12,-16.63671875,0.05859375,1.2748063867350892,0.7390413796846893,1.1052602790193706,1.412606752155653,1.112691440597211,3.138327936758581,0.8803753526743416,0.5318100591905113,1.1176813581680816,1.3348134151248,1.8353714809487651,3.066415772596401,1.4589383339035455,0.9608259418879525,2.944537861032164,2.817825871016877,2.4820316467953387,2.435844849603802,2.682296532221894,3.096842551089172,3.284412905934139,3.858380373709311,4.051779354350193,5.849187595602532,,,,,,
13,-16.88671875,0.10546875,1.2672915705741683,0.7978199275098783,0.9907811042641176,1.3422056816598882,1.19021239190124,2.3142676280013026,1.982162186841092,0.7582082985067883,0.7399413446675784,1.17963796376654,1.439806832846399,1.90480676560399,3.0420465963420025,1.4475647000289946,1.00890087376883,2.597409853440327,4.092748411103109,3.085945129412203,2.4560435150919955,3.5581682627227287,2.9153055821319374,4.158098233424786,3.42862331357111,3.8884064202625312,5.200846594291745,5.848758377237266,,,,
14,-16.7265625,0.08203125,0.8743010830156237,2.307659522767277,2.1804978842109435,1.8804849513289288,1.904613095608969,1.2596539625500531,1.006151032367065,1.9629114009900213,2.331954818788137,2.254351784716883,1.9019157200355927,1.6182391127596516,1.137297644215689,0.087537800457524,1.4595729568192617,1.054652501809879,2.3650321133580556,3.7596785392019645,3.407739011338133,2.7103216235438805,3.0761352209836654,3.483191154389907,3.3237284127244133,3.86407006894965,4.4855484143842705,4.069924643247112,5.23029031226764,0.5451774201146895,,
15,-16.640625,0.0859375,1.2672915705741694,0.9363158765190622,0.942928821013659,1.1968192166432898,1.243873313489407,1.6515961435186983,2.026797508287162,1.65706143691125,1.020519787829151,0.8373532041128184,0.9879368873532788,1.3004647779704732,1.5920594649078506,2.07927785535683,3.054054853132269,1.4595729568192617,1.0835753914534063,1.17783502599403,2.460825733663984,3.50829316215637,2.959399262041828,2.919357964938043,3.279663187686786,3.41484997939041,3.516707575661998,4.041635310502398,4.396486177712022,4.235691167392902,4.895639391399572,0.5451774201146895
